SIGLA UF,NOME MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,CARGO OU FUNÇÃO DO CURSISTA,FORMAÇÃO,SITUAÇÃO ATUAL
PA,ANANINDEUA,ESTADUAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PI,PIRIPIRI,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PA,TUCURUÍ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RN,SÃO JOSÉ DE MIPIBU,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PE,GARANHUNS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RS,CAPELA DE SANTANA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,DESISTENTE
MT,TANGARÁ DA SERRA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Mestrado,MATRICULADO
SP,SÃO BERNARDO DO CAMPO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Mestrado,MATRICULADO
SC,ANCHIETA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
CE,FORTALEZA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MT,PRIMAVERA DO LESTE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Doutorado,MATRICULADO
MA,PINHEIRO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PE,CABO DE SANTO AGOSTINHO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PI,COCAL,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
PI,FLORIANO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RO,CACOAL,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
CE,CAUCAIA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
BA,PORTO SEGURO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Mestrado,MATRICULADO
GO,CIDADE OCIDENTAL,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SP,SÃO VICENTE,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RN,CANGUARETAMA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
