UF,Nome UF Municipio,Dependencia Administrativa,Cargo Funcao Cursista,Formacao Cursista,STATUS
AC,Jordão,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
AC,Jordão,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
AC,Plácido de Castro,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
AC,Plácido de Castro,MUNICIPAL,Diretor Escolar,Especialização,
AM,Alvarães,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
AM,Alvarães,MUNICIPAL,Técnico da Secretaria de Educação,Mestrado,
AM,Alvarães,MUNICIPAL,Diretor Escolar,Superior Incompleto,
AM,Alvarães,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
AM,Alvarães,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
AM,Alvarães,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
AM,Alvarães,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo (outro),
AM,Alvarães,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
AM,Envira,MUNICIPAL,Diretor Escolar,Especialização,
AM,Envira,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
AM,Envira,MUNICIPAL,Técnico da Secretaria de Educação,Médio Completo,
AM,Envira,MUNICIPAL,Diretor Escolar,Especialização,
AM,Envira,MUNICIPAL,Diretor Escolar,Especialização,
AM,Manaquiri,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
AM,Manaquiri,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
AM,Manaquiri,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
AM,Manaquiri,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
CE,Araripe,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
CE,Araripe,MUNICIPAL,Diretor Escolar,Especialização,
CE,Caririaçu,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo (outro),
CE,Caririaçu,MUNICIPAL,Diretor Escolar,Especialização,
CE,Croatá,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
CE,Guaiúba,MUNICIPAL,Diretor Escolar,Especialização,
CE,Guaiúba,MUNICIPAL,Diretor Escolar,Especialização,
CE,Irauçuba,MUNICIPAL,Diretor Escolar,Especialização,
CE,Irauçuba,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
CE,Jucás,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
CE,Jucás,MUNICIPAL,Diretor Escolar,Especialização,
CE,Pindoretama,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
CE,Pindoretama,MUNICIPAL,Diretor Escolar,Especialização,
CE,Quiterianópolis,MUNICIPAL,Técnico da Secretaria de Educação,Mestrado,
CE,Quiterianópolis,MUNICIPAL,Diretor Escolar,Especialização,
CE,Tamboril,MUNICIPAL,Diretor Escolar,Especialização,
CE,Tamboril,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
CE,Tejuçuoca,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
CE,Tejuçuoca,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
CE,Uruburetama,MUNICIPAL,Diretor Escolar,Especialização,
CE,Uruburetama,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
AL,Barra de Santo Antônio,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
AL,Barra de Santo Antônio,MUNICIPAL,Diretor Escolar,Especialização,
AL,Cacimbinhas,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
AL,Cacimbinhas,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
AL,Cacimbinhas,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
AL,Cacimbinhas,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
AL,Cacimbinhas,MUNICIPAL,Diretor Escolar,Especialização,
AL,Cacimbinhas,MUNICIPAL,Diretor Escolar,Especialização,
AL,Cacimbinhas,MUNICIPAL,Diretor Escolar,Especialização,
AL,Cajueiro,MUNICIPAL,Técnico da Secretaria de Educação,Mestrado,
AL,Cajueiro,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo (outro),
AL,Maravilha,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
AL,Maravilha,MUNICIPAL,Diretor Escolar,Especialização,
AL,Mar Vermelho,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
AL,Mar Vermelho,MUNICIPAL,Diretor Escolar,Especialização,
AL,Mar Vermelho,MUNICIPAL,Diretor Escolar,Especialização,
AL,Mar Vermelho,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
AL,Mar Vermelho,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
AL,Piaçabuçu,MUNICIPAL,Diretor Escolar,Especialização,
AL,Piaçabuçu,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
AL,Porto Real do Colégio,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
AL,Porto Real do Colégio,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
BA,Barra do Choça,MUNICIPAL,Diretor Escolar,Especialização,
BA,Barra do Choça,MUNICIPAL,Diretor Escolar,Especialização,
BA,Conceição do Jacuípe,MUNICIPAL,Diretor Escolar,Especialização,
BA,Conceição do Jacuípe,MUNICIPAL,Técnico da Secretaria de Educação,Médio Completo,
BA,Curaçá,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
BA,Curaçá,MUNICIPAL,Diretor Escolar,Especialização,
BA,Inhambupe,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
BA,Inhambupe,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
BA,Macaúbas,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
BA,Macaúbas,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
BA,Pilão Arcado,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
BA,Pilão Arcado,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
BA,Pojuca,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
BA,Pojuca,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
BA,Rio Real,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
BA,Rio Real,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
BA,São Sebastião do Passé,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
BA,São Sebastião do Passé,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
BA,Vera Cruz,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
BA,Vera Cruz,MUNICIPAL,Técnico da Secretaria de Educação,Mestrado,
ES,João Neiva,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
ES,João Neiva,MUNICIPAL,Diretor Escolar,Especialização,
ES,Pancas,MUNICIPAL,Diretor Escolar,Especialização,
ES,Pancas,MUNICIPAL,Diretor Escolar,Especialização,
ES,Pancas,MUNICIPAL,Diretor Escolar,Especialização,
ES,Pancas,MUNICIPAL,Diretor Escolar,Especialização,
ES,Pancas,MUNICIPAL,Diretor Escolar,Especialização,
ES,Pancas,MUNICIPAL,Diretor Escolar,Especialização,
ES,Pancas,MUNICIPAL,Diretor Escolar,Especialização,
ES,Pancas,MUNICIPAL,Diretor Escolar,Especialização,
ES,Pancas,MUNICIPAL,Diretor Escolar,Especialização,
ES,Pancas,MUNICIPAL,Diretor Escolar,Especialização,
ES,Vargem Alta,MUNICIPAL,Diretor Escolar,Especialização,
ES,Vargem Alta,MUNICIPAL,Diretor Escolar,Especialização,
ES,Vargem Alta,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
ES,Vargem Alta,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
ES,Vargem Alta,MUNICIPAL,Diretor Escolar,Especialização,
ES,Vargem Alta,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
ES,Vargem Alta,MUNICIPAL,Diretor Escolar,Especialização,
ES,Vila Valério,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
ES,Vila Valério,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
SC,Penha,MUNICIPAL,Diretor Escolar,Especialização,
SC,Penha,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
SP,Santa Bárbara d'Oeste,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
SP,Santa Bárbara d'Oeste,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
TO,Miranorte,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
TO,Miranorte,MUNICIPAL,Técnico da Secretaria de Educação,Médio Completo,
MA,Humberto de Campos,MUNICIPAL,Diretor Escolar,Especialização,
GO,Alto Paraíso de Goiás,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
GO,Alto Paraíso de Goiás,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
GO,Corumbaíba,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
GO,Cezarina,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
GO,Sanclerlândia,MUNICIPAL,Diretor Escolar,Especialização,
GO,Sanclerlândia,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
GO,Corumbá de Goiás,MUNICIPAL,Diretor Escolar,Especialização,
GO,Corumbá de Goiás,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
GO,Monte Alegre de Goiás,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
GO,Monte Alegre de Goiás,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
GO,Monte Alegre de Goiás,MUNICIPAL,Diretor Escolar,Especialização,
GO,Terezópolis de Goiás,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
GO,Terezópolis de Goiás,MUNICIPAL,Diretor Escolar,Especialização,
GO,Inaciolândia,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
GO,Inaciolândia,MUNICIPAL,Diretor Escolar,Especialização,
GO,Simolândia,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
GO,Vila Boa,MUNICIPAL,Diretor Escolar,Especialização,
GO,Vila Boa,MUNICIPAL,Diretor Escolar,Especialização,
GO,Vila Boa,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
MA,São João dos Patos,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
MA,São João dos Patos,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
MA,Jenipapo dos Vieiras,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
MA,Jenipapo dos Vieiras,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
MA,Paulo Ramos,MUNICIPAL,Diretor Escolar,Especialização,
MA,Paulo Ramos,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
MA,Itinga do Maranhão,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
MA,Itinga do Maranhão,MUNICIPAL,Diretor Escolar,Especialização,
MA,Cantanhede,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Pedagogia,
MA,Cantanhede,MUNICIPAL,Diretor Escolar,Especialização,
MA,Buriti Bravo,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
MA,Bacuri,MUNICIPAL,Diretor Escolar,Especialização,
MA,Bacuri,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
MA,Anajatuba,MUNICIPAL,Técnico da Secretaria de Educação,Mestrado,
MA,Anajatuba,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
MA,Trizidela do Vale,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
MA,Magalhães de Almeida,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
MA,Magalhães de Almeida,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
MA,Bela Vista do Maranhão,MUNICIPAL,Diretor Escolar,Especialização,
MA,Bela Vista do Maranhão,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo (outro),
